LIJSTID,CATEGORIE,LIJSTNAAM
CS00025973,LIJN PDMS,IC opnameperiode 3 (PDMS)
CS00051295,LIJN PDMS,In te richten door het ziekenhuis
CS00051296,LIJN PDMS,In te richten door het ziekenhuis
CS00051298,LIJN PDMS,In te richten door het ziekenhuis
CS00051299,LIJN PDMS,In te richten door het ziekenhuis
CS00051301,LIJN PDMS,In te richten door het ziekenhuis
CS00051302,LIJN PDMS,In te richten door het ziekenhuis
CS00040607,LIJN PDMS,Indicatie blaaskatheter
CS00039323,LIJN PDMS,Interne validatie
CS00025942,LIJN PDMS,Inzage bacteriologische uitslagen
CS00039551,LIJN PDMS,Klik hier voor inzage resistentiepatronen
CS00025941,LIJN PDMS,Lijngegevens
CS00025924,LIJN PDMS,Lijnregistratie (PDMS)
CS00025969,LIJN PDMS,Lijnsepsis (PDMS)
CS00025932,LIJN PDMS,Lijnsepsis bepaling (PDMS)
ZH00000405,LIJN PDMS,Lijnsepsis bepaling (PDMS) (UMCU) nooit gebruikt
CS00025974,LIJN PDMS,Micro-organisme bij bacteriemie (PDMS)
CS00025925,LIJN PDMS,Opnamegegevens
CS00025945,LIJN PDMS,Toepassing van de lijn
CS00025950,LIJN PDMS,Veiligheidsprogramma
CS00045764,LIJN PDMS,VMS controle klinische verschijnselen 24 uur
CS00045765,LIJN PDMS,VMS controle klinische verschijnselen 48 uur
CS00025955,LIJN PDMS,VMS Dagregistratie (PDMS)
CS00039221,LIJNEN,2 uur na plaatsen polsband
CS00039222,LIJNEN,3 uur na plaatsen polsband
CS00039223,LIJNEN,4 uur na plaatsen polsband
CS00046004,LIJNEN,A.-pulmonaliskatheter
CS00048821,LIJNEN,Aanpriknaald poortkatheter
CS00061002,LIJNEN,Abcesdrain
CS00051041,LIJNEN,Achtste fase: Nabloeding
CS00051040,LIJNEN,Achtste fase: Verwijder lucht
CS00054968,LIJNEN,ACT
CS00060334,LIJNEN,Actief koelen
CS00039515,LIJNEN,Ademgeruis
CS00039245,LIJNEN,Ademhalingsobservatie
CS00052910,LIJNEN,Ademhalingsondersteuning
CS00052915,LIJNEN,Ademhalingsondersteuning algemeen
CS00046243,LIJNEN,Ademweg vrij
CS00055902,LIJNEN,Afbeelding dermatomen
CS00043226,LIJNEN,Algemeen
CS00043590,LIJNEN,Algemeen
CS00050614,LIJNEN,Algemeen
CS00052274,LIJNEN,Algemeen
CS00052275,LIJNEN,Algemeen
CS00054330,LIJNEN,Algemeen
CS00046985,LIJNEN,Algemeen - oogblok
CS00050753,LIJNEN,Algemeen LIK
CS00047363,LIJNEN,ALGO screening
CS00043225,LIJNEN,Anesthesietechniek
CS00033160,LIJNEN,AP controle
CS00035275,LIJNEN,Arterieklem
CS00019714,LIJNEN,Arteriele Canule
CS00046764,LIJNEN,Arteriële canule
CS00047033,LIJNEN,Arteriële katheter
CS00047035,LIJNEN,Arteriële sheath
CS00061007,LIJNEN,Arteriële sheath IABP
CS00019715,LIJNEN,Arterielijn
CS00019716,LIJNEN,Arterielijn
CS00055358,LIJNEN,Artikel
CS00035781,LIJNEN,Ascites
CS00047034,LIJNEN,Ascitesdrain
CS00024641,LIJNEN,A-septisch handelen
CS00024643,LIJNEN,A-septisch handelen
CS00056535,LIJNEN,Atriaal
CS00037377,LIJNEN,Bakriballon
CS00059630,LIJNEN,Ballon tbv ingebracht materiaal
CS00055357,LIJNEN,Ballondilatatie
CS00062583,LIJNEN,Ballondilatatie V2
CS00031598,LIJNEN,Ballonkatheter
CS00037440,LIJNEN,Ballonkatheter
CS00048145,LIJNEN,BCP kenmerken
CS00057413,LIJNEN,Beademing in buikligging
CS00053811,LIJNEN,Beleid ECLS
CS00040891,LIJNEN,Berekening verlies
CS00050679,LIJNEN,Berekening verlies
CS00047975,LIJNEN,Beschadiging patiënt
CS00048166,LIJNEN,Bewustzijn
CS00060649,LIJNEN,Bewustzijn
CS00052310,LIJNEN,Biers blokkade
CS00052912,LIJNEN,BiPAP/CPAP/Duopap
CS00034121,LIJNEN,Blaascontrole
CS00048618,LIJNEN,Blaascontrole II
CS00019717,LIJNEN,Blaaskatheter
CS00024062,LIJNEN,Blaaskatheter
CS00028617,LIJNEN,Blaaskatheter eenmalig
CS00057675,LIJNEN,Blaasspoelen continue
CS00057748,LIJNEN,Bloedafname
CS00024689,LIJNEN,Bloedleegte registreren
CS00034854,LIJNEN,Blokhoogte motorisch
CS00034853,LIJNEN,Blokhoogte sensibel
CS00029193,LIJNEN,Blokkade
CS00000942,LIJNEN,Bloodpatch
CS00024286,LIJNEN,Botnaald
CS00028615,LIJNEN,Botnaald
CS00052362,LIJNEN,Botnaald éénmalig
CS00039600,LIJNEN,Braken
CS00054432,LIJNEN,Bromage score
CS00029666,LIJNEN,Bronchiaal toilet
CS00048841,LIJNEN,Brugada test
CS00048876,LIJNEN,Brugada test
CS00035163,LIJNEN,Buikcontrole
CS00050676,LIJNEN,Buikligging
CS00055956,LIJNEN,Cardiotomiebloed
CS00036171,LIJNEN,Cardioversie
CS00028936,LIJNEN,Catheter a demeure
CS00040943,LIJNEN,Caudaal
CS00040967,LIJNEN,Caudaal
CS00050739,LIJNEN,CCP kenmerken
CS00040889,LIJNEN,Cellsaver
CS00050670,LIJNEN,Cellsaver  II
CS00031896,LIJNEN,Centraal veneuze katheter
CS00019718,LIJNEN,Centrale lijn
CS00046777,LIJNEN,Centrale lijn (met lijnregistratie)
CS00061940,LIJNEN,Centrale lijn (zonder lijnregistratie)
CS00058798,LIJNEN,CFR
CS00029752,LIJNEN,Checklist centraal veneuze katheter
CS00029756,LIJNEN,Checklist tracheostoma
CS00035168,LIJNEN,Chirurgiecontrole
CS00058122,LIJNEN,Chirurgische sluiting
CS00035546,LIJNEN,Citraatslot
CS00055368,LIJNEN,Clipimplantatie
CS00034841,LIJNEN,CO2 insufflatie
CS00041266,LIJNEN,Cold pack
CS00047037,LIJNEN,Colostoma
CS00047036,LIJNEN,Colostoma IN
CS00049170,LIJNEN,Condoomkatheter
CS00000946,LIJNEN,Contact familie
CS00052221,LIJNEN,Controle blok
CS00058529,LIJNEN,Controle diepte
CS00048672,LIJNEN,Controle externe pacemaker
CS00056530,LIJNEN,Controle externe pacemaker
CS00052544,LIJNEN,Controle inhoud ballon
CS00053995,LIJNEN,Controle insteek epiduraal
CS00058056,LIJNEN,Coolgardkatheter
CS00036389,LIJNEN,CPAP masker
CS00019719,LIJNEN,CPL Canule
CS00048143,LIJNEN,CPL registraties
CS00033286,LIJNEN,Crash inductie
CS00040945,LIJNEN,CSE
CS00040946,LIJNEN,CSE
CS00043631,LIJNEN,CSE
CS00024750,LIJNEN,CSE (Combined Spinal Epidural)
CS00052999,LIJNEN,CSE Smaak 3
CS00037805,LIJNEN,Cuffdruk
CS00052327,LIJNEN,CVVH lijn
CS00028620,LIJNEN,CVVH lijn maat
CS00053814,LIJNEN,CVVH/Dialysekatheter
CS00047038,LIJNEN,CVVH/Dialysekatheter IN
CS00047039,LIJNEN,CVVH/Dialysekatheter UIT
CS00064615,LIJNEN,Dampvormige anesthetica (DVA)
CS00056533,LIJNEN,DDD
CS00056534,LIJNEN,DDD
CS00035785,LIJNEN,Defecatie
CS00036175,LIJNEN,Defibrillatie
CS00033285,LIJNEN,Defibrilleren
CS00051025,LIJNEN,Derde fase: Nabloeding
CS00051024,LIJNEN,Derde fase: Verwijder lucht
CS00046814,LIJNEN,Derde moment verwijderen lucht
CS00050239,LIJNEN,Dialysekatheter
CS00050395,LIJNEN,Diepte
CS00054444,LIJNEN,Diepte intracardiale katheterpomp
CS00048845,LIJNEN,Dobu Stress Echo
CS00048839,LIJNEN,Dobutamine Stress Echo
CS00047040,LIJNEN,Drain
CS00040710,LIJNEN,Drainvocht
CS00055367,LIJNEN,Drug-eluting ballon
CS00046119,LIJNEN,Drukpuntcontrole
CS00040706,LIJNEN,Drukverband
CS00059632,LIJNEN,Dubbele ballon
CS00061000,LIJNEN,Duodenumsonde
CS00028479,LIJNEN,ECG-veranderingen
CS00043337,LIJNEN,Echo
CS00050620,LIJNEN,Echo
CS00052408,LIJNEN,Echo
CS00019720,LIJNEN,ECMO arteriele canule
CS00047275,LIJNEN,ECMO veneuze canule
CS00051021,LIJNEN,Eerste fase: Nabloeding
CS00051019,LIJNEN,Eerste fase: Verwijder lucht
CS00046809,LIJNEN,Eerste moment verwijderen lucht
CS00059631,LIJNEN,Enkele ballon
CS00024694,LIJNEN,Epiduraal
CS00034653,LIJNEN,Epiduraal
CS00043616,LIJNEN,Epiduraal
CS00053001,LIJNEN,Epiduraal
CS00043585,LIJNEN,Epiduraalkatheter
CS00027362,LIJNEN,Epiduraalkatheter - bloed
CS00043531,LIJNEN,Epiduraalkatheter teruggetrokken
CS00024052,LIJNEN,Epidurale bloodpatch
CS00036062,LIJNEN,EtC
CS00060040,LIJNEN,Event PSA
CS00047041,LIJNEN,Externe fixator
CS00050369,LIJNEN,Externe liquordrain
CS00050370,LIJNEN,Externe liquordrain
CS00056287,LIJNEN,Externe pacemaker
CS00056532,LIJNEN,Externe pacemaker
CS00047042,LIJNEN,Externe pacemaker (draden)
CS00047058,LIJNEN,Externe ventrikeldrain
CS00048549,LIJNEN,Externe ventrikeldrain
CS00048550,LIJNEN,Externe ventrikeldrain
CS00052043,LIJNEN,Fecale collector
CS00041732,LIJNEN,Femoralisblok
CS00055363,LIJNEN,FFR
CS00058119,LIJNEN,Figure of eight
CS00058532,LIJNEN,Figure of eight
CS00037567,LIJNEN,Filtraat
CS00046755,LIJNEN,FiO2 conversie
CS00048781,LIJNEN,FiO2 conversie cumulatief beantwoorden
CS00052041,LIJNEN,Fistelzakje
CS00029422,LIJNEN,Fixatie arm
CS00041307,LIJNEN,Fixatie been
CS00057690,LIJNEN,Fundushoogte
CS00035786,LIJNEN,Gal
CS00047043,LIJNEN,Galdrain
CS00058073,LIJNEN,Gastrostoma
CS00043253,LIJNEN,Gebruikte materialen/middelen
CS00043591,LIJNEN,Gebruikte materialen/middelen
CS00050616,LIJNEN,Gebruikte materialen/middelen
CS00054337,LIJNEN,Gebruikte materialen/middelen
CS00043619,LIJNEN,Gebruikte materialen/middelen epiduraal
CS00050754,LIJNEN,Gebruikte materialen/middelen LIK
CS00052403,LIJNEN,Gebruikte materialen/middelen plexuskatheter
CS00043598,LIJNEN,Gebruikte materialen/middelen spinaal
CS00043629,LIJNEN,Gebruikte middelen/materialen spinaal
CS00038260,LIJNEN,Gevolgd beleid drain
CS00022308,LIJNEN,Gips/Drukverband
CS00058145,LIJNEN,Glucose sensor
CS00039095,LIJNEN,Guedel
CS00024064,LIJNEN,Guedel/Mayotube
CS00061013,LIJNEN,Guedel/mayotube
CS00025299,LIJNEN,Guedeltube
CS00035176,LIJNEN,Gynaecologiecontrole
CS00040923,LIJNEN,Handeling
CS00058463,LIJNEN,Handschoendrain
CS00021086,LIJNEN,Harmonicadrain
CS00021087,LIJNEN,Harmonicadrain
CS00053117,LIJNEN,Hart/longen luisteren
CS00048703,LIJNEN,Hartmassageapparaat
CS00060466,LIJNEN,Hartritme
CS00047188,LIJNEN,Hematuriesonde
CS00046002,LIJNEN,Hematuriesonde IN
CS00052446,LIJNEN,Hemotransdrain
CS00034889,LIJNEN,High flow
CS00052914,LIJNEN,High flow
CS00042898,LIJNEN,High flow (cum.)
CS00058466,LIJNEN,High flow nasal cannula
CS00042899,LIJNEN,Highflow (cum beantwoorden)
CS00060523,LIJNEN,Houding OK
CS00063283,LIJNEN,Houding Sedatie
CS00035771,LIJNEN,IABP
CS00056286,LIJNEN,IABP
CS00047176,LIJNEN,ICD
CS00048746,LIJNEN,ICD uitgeschakeld
CS00051006,LIJNEN,ICP-transducer
CS00060980,LIJNEN,IFR
CS00047044,LIJNEN,Ileostoma
CS00062078,LIJNEN,IMR
CS00060331,LIJNEN,Infantwarmer
CS00039624,LIJNEN,Infuus- en pompencontrole (event)
CS00024063,LIJNEN,Infuusnaald
CS00045993,LIJNEN,Infuusslot
CS00025242,LIJNEN,Intra uteriene druklijn
CS00058827,LIJNEN,Intrathecale katheter
CS00058828,LIJNEN,Intrathecale katheter
CS00037107,LIJNEN,Introducer
CS00047781,LIJNEN,Introducer
CS00037442,LIJNEN,IUDL
CS00055365,LIJNEN,IVUS
CS00047045,LIJNEN,Jejunostoma
1000019746,LIJNEN,Jejunostomie
CS00055286,LIJNEN,Kaak koelsysteem
CS00046569,LIJNEN,Kap-/masker maat
CS00058886,LIJNEN,Kapbeademing
CS00024783,LIJNEN,Kapmaat
CS00050740,LIJNEN,Kind geboorte
CS00055415,LIJNEN,Klepdilatatie
CS00055414,LIJNEN,Klepimplantatie
CS00055958,LIJNEN,Koeldeken
CS00060333,LIJNEN,Koelen na reanimatie
CS00041263,LIJNEN,Kussen
CS00060856,LIJNEN,Lab afgenomen
CS00041434,LIJNEN,Lab handmatig
CS00060597,LIJNEN,Lachgas sedatie
CS00047118,LIJNEN,Lamel
CS00024065,LIJNEN,Larynxmasker
CS00047122,LIJNEN,Larynxmasker
CS00024779,LIJNEN,Larynxmaskermaten
CS00051048,LIJNEN,Leegloopfase
CS00056242,LIJNEN,Leegloopfase: Nabloeding
CS00046815,LIJNEN,Leeglopen TR-band
CS00048992,LIJNEN,Left vent canule
CS00050402,LIJNEN,Lichamelijke observaties
CS00058542,LIJNEN,Linker hartventrikeldrain
CS00035787,LIJNEN,Liquor
CS00019721,LIJNEN,Liquordrain
CS00020533,LIJNEN,Liquordrain
CS00047844,LIJNEN,Locatie
CS00050613,LIJNEN,Lokaal door operateur
CS00050752,LIJNEN,Lokale infiltratie katheter
CS00042194,LIJNEN,Long
CS00061004,LIJNEN,Low-vac drain
CS00047119,LIJNEN,Lumbale drain
CS00035788,LIJNEN,Maaginhoud
CS00024061,LIJNEN,Maagkatheter
CS00050980,LIJNEN,Maagretentie
CS00019722,LIJNEN,Maagsonde
CS00037804,LIJNEN,Maagsonde
CS00038788,LIJNEN,Maagsonde
CS00064297,LIJNEN,Maagsonde éénmalig
CS00040561,LIJNEN,Maagsonde herhaling
CS00028616,LIJNEN,Maat
CS00058070,LIJNEN,Malecotdrain
CS00041600,LIJNEN,Mamma field blok
CS00059926,LIJNEN,Managen cuff
CS00054143,LIJNEN,Manchet positie
CS00058118,LIJNEN,Manuele compressie
CS00024051,LIJNEN,Maskermaten
CS00029754,LIJNEN,Materiaal
CS00049653,LIJNEN,Mechanische Thoraxcompressie
CS00040605,LIJNEN,Metingen
CS00054035,LIJNEN,Metingen
CS00044744,LIJNEN,Microsonde
CS00028622,LIJNEN,Microsonde maat
CS00025246,LIJNEN,MID lijn
CS00048713,LIJNEN,MID lijn (met lijnregistratie)
CS00048712,LIJNEN,MID lijn (zonder lijnregistratie)
CS00048364,LIJNEN,Mini-redondrain
CS00047120,LIJNEN,Minitrach
CS00052325,LIJNEN,Monitorbewaking
CS00034851,LIJNEN,Motoriekcontrole
CS00048877,LIJNEN,Na Brugada test
CS00048846,LIJNEN,Na Dobu Stress Echo
CS00048873,LIJNEN,Na TIA TEE
CS00024283,LIJNEN,Naald
CS00024784,LIJNEN,Naaldsoort
CS00046810,LIJNEN,Nabloeding eerste moment
CS00046812,LIJNEN,Nabloeding tweede moment
CS00058068,LIJNEN,NAVA katheter
CS00028623,LIJNEN,NAVA katheter maat
CS00033326,LIJNEN,Navelkatheter
CS00038791,LIJNEN,Navelvenelijn
CS00029755,LIJNEN,Nazorg
CS00052917,LIJNEN,nCPAP
CS00047047,LIJNEN,Nefrostomiedrain
CS00051047,LIJNEN,Negende fase: Nabloeding
CS00051043,LIJNEN,Negende fase: Verwijder lucht
CS00050390,LIJNEN,Neo PICC
CS00052918,LIJNEN,Neo puff/tee
CS00055154,LIJNEN,Neo Tube
CS00028733,LIJNEN,Neurologische controles
CS00043260,LIJNEN,Neurostimulator
CS00050619,LIJNEN,Neurostimulator
CS00052407,LIJNEN,Neurostimulator plexuskatheter
CS00043595,LIJNEN,Neurstimulator
CS00037802,LIJNEN,Neusbril
CS00052919,LIJNEN,NIPPV
CS00036177,LIJNEN,NMT
CS00027266,LIJNEN,Noodcanules
CS00052920,LIJNEN,Normo flow
CS00041647,LIJNEN,Novaport
CS00033733,LIJNEN,O2 ~ l/min
CS00028726,LIJNEN,O2 ~ l/min toedienwijze
CS00055290,LIJNEN,Observatie zenuwuitval
CS00055364,LIJNEN,OCT
CS00057602,LIJNEN,Omgekeerde arteriële katheter
CS00047970,LIJNEN,Onderzoek afgebroken
CS00039096,LIJNEN,Oogblok
CS00046982,LIJNEN,Oogblok
CS00046986,LIJNEN,Oogblok
CS00058065,LIJNEN,Oogspoellens
CS00053138,LIJNEN,Operateur gewaarschuwd
CS00046926,LIJNEN,Order uitzetten
CS00047452,LIJNEN,Order uitzetten afsluiten
CS00056540,LIJNEN,Orders (ZH)
CS00056541,LIJNEN,Orders (ZH)
CS00053994,LIJNEN,Orders Epiduraalkatheter
CS00035171,LIJNEN,Orthopediecontrole
CS00056538,LIJNEN,Overige controles
CS00056539,LIJNEN,Overige controles
CS00038359,LIJNEN,Overleg met anesthesioloog
CS00059191,LIJNEN,Overleg met chirurg
CS00040892,LIJNEN,Overzicht geproduceerde zakken
CS00035547,LIJNEN,Pacemakerdraden
CS00029753,LIJNEN,Patiënt
CS00048843,LIJNEN,Patiëntgegevens
CS00048863,LIJNEN,Patiëntgegevens
CS00035166,LIJNEN,Patientveiligheid
CS00034855,LIJNEN,PCA uitgelegd
CS00053070,LIJNEN,PCEA-pomp
CS00053069,LIJNEN,PCIA-pomp
CS00025238,LIJNEN,PEG
CS00035765,LIJNEN,Penisblok
CS00021095,LIJNEN,Pericarddrain
CS00021096,LIJNEN,Pericarddrain
CS00047113,LIJNEN,Pericarddrain
CS00035793,LIJNEN,Pericardvocht
CS00055360,LIJNEN,Perifere ballon
CS00019723,LIJNEN,Perifere lijn
CS00028624,LIJNEN,Perifere lijn maat
CS00055359,LIJNEN,Perifere stent
CS00062176,LIJNEN,Perifere zenuwkatheter
CS00034856,LIJNEN,Peristaltiek
CS00048366,LIJNEN,pH metrie sonde
CS00047459,LIJNEN,PICC
CS00024640,LIJNEN,PICC lijn
CS00024642,LIJNEN,PICC lijn
CS00024708,LIJNEN,PICC-lijn
CS00047049,LIJNEN,PICCO
CS00028625,LIJNEN,PICCO maat
CS00048365,LIJNEN,Pigtail
CS00054433,LIJNEN,Pijnscore
CS00048706,LIJNEN,Plaszakje
CS00047278,LIJNEN,Pleuradrain
CS00028626,LIJNEN,Pleuradrain maat
CS00035792,LIJNEN,Pleuravocht
CS00028815,LIJNEN,Plexus anesthesie
CS00039112,LIJNEN,Plexus anesthesie
CS00043600,LIJNEN,Plexuskatheter
CS00041660,LIJNEN,Polysomnografie
CS00027398,LIJNEN,Poortkatheter
CS00041739,LIJNEN,Positie arm
CS00057691,LIJNEN,Positie armen
CS00029999,LIJNEN,Positie blok
CS00032872,LIJNEN,Positie gelmat
CS00032871,LIJNEN,Positie li/re
CS00054973,LIJNEN,PREZIES aan Arteriële en Veneuze navelkatheter
CS00054974,LIJNEN,PREZIES lijnregistratie tbv PICC lijn
CS00028429,LIJNEN,Prikhoogte
CS00047845,LIJNEN,Prothese
CS00027601,LIJNEN,PSA Event
CS00061462,LIJNEN,PSA Verslag V2
CS00034846,LIJNEN,Pulsatiecontrole
CS00049549,LIJNEN,Pulsatiecontrole
CS00059556,LIJNEN,Pulsatiecontrole
CS00037568,LIJNEN,Punctaat
CS00037794,LIJNEN,Reanimatietafel
CS00058061,LIJNEN,Rechter hartventrikelkatheter
CS00054034,LIJNEN,Recoverycontroles
CS00040399,LIJNEN,Rectaal katheter
CS00048367,LIJNEN,Rectumcanule
CS00047051,LIJNEN,Rectumcanule UIT
CS00021088,LIJNEN,Redondrain
CS00021089,LIJNEN,Redondrain
CS00047114,LIJNEN,Redondrain
CS00024644,LIJNEN,Regionaal katheter
CS00024695,LIJNEN,Regionaal single shot
CS00024645,LIJNEN,Regionale punctie
CS00024730,LIJNEN,Registreren warmteblower
CS00035165,LIJNEN,Respiratie
CS00043255,LIJNEN,Resultaat
CS00043593,LIJNEN,Resultaat
CS00050618,LIJNEN,Resultaat
CS00055349,LIJNEN,RFR
CS00028729,LIJNEN,Röntgen
CS00055354,LIJNEN,Rotablator
CS00047973,LIJNEN,Saturatiedaling
CS00025240,LIJNEN,Schedel elektrode
CS00037441,LIJNEN,Schedel elektrode
CS00051066,LIJNEN,Schedelelektrode
CS00054903,LIJNEN,Sedatiescores
CS00025298,LIJNEN,Sheath
CS00056288,LIJNEN,Shockwave
CS00037448,LIJNEN,Shuntcontrole
CS00058470,LIJNEN,Siliconendrain
CS00043227,LIJNEN,Single shot
CS00050615,LIJNEN,Single shot
CS00043618,LIJNEN,Single shot epiduraal
CS00043628,LIJNEN,Single shot spinaal
CS00055411,LIJNEN,Sluiting
CS00058121,LIJNEN,Sluiting middels hechting
CS00058120,LIJNEN,Sluiting middels plug
CS00061016,LIJNEN,Sonde
CS00047137,LIJNEN,Soort ECG
CS00057842,LIJNEN,Soort ECMO
CS00024762,LIJNEN,Spinaal
CS00043626,LIJNEN,Spinaal
CS00053000,LIJNEN,Spinaal
CS00024766,LIJNEN,Spinaal medicatie
CS00024769,LIJNEN,Spinaal medicatie
CS00024765,LIJNEN,Spinaal naald
CS00024763,LIJNEN,Spinaal punctie
CS00024745,LIJNEN,Spinaal/epiduraal
CS00027228,LIJNEN,Spinaal/epiduraal
CS00027230,LIJNEN,Spinaal/epiduraal
CS00043597,LIJNEN,Spinaalkatheter
CS00027363,LIJNEN,Spinaalkatheter - bloed
CS00028945,LIJNEN,Spinaalnaald
CS00051008,LIJNEN,Splint
CS00030098,LIJNEN,Spoelkatheter
CS00035789,LIJNEN,Spoelvloeistof
CS00038073,LIJNEN,Sputum
CS00020792,LIJNEN,Standaardbehandeling: Oogblok
CS00055366,LIJNEN,Stentplaatsing
CS00062593,LIJNEN,Stentplaatsing V2
CS00028632,LIJNEN,Stoma
CS00048708,LIJNEN,Stoma
CS00047121,LIJNEN,Stomabrug
CS00061018,LIJNEN,Stomacanule
CS00061934,LIJNEN,Stoppen bedrust
CS00053019,LIJNEN,Stralingsdosis
CS00034848,LIJNEN,Stuwingscontrole
CS00047053,LIJNEN,Subcutane katheter
CS00048368,LIJNEN,Subduraaldrain
CS00048369,LIJNEN,Supra pubis katheter
CS00047287,LIJNEN,Supra pubis katheter UIT
CS00035549,LIJNEN,Swan-Ganz katheter
CS00035451,LIJNEN,Symptomen en relatie met activiteit bij events
CS00045599,LIJNEN,T.E.E. probe
CS00047957,LIJNEN,Tampon
CS00036176,LIJNEN,TEE
CS00047124,LIJNEN,Temperatuur probe
CS00060326,LIJNEN,Temperatuurbeheer
CS00048680,LIJNEN,Temperatuurregeling (VG-MZG)
CS00047054,LIJNEN,Temperatuursonde
CS00047055,LIJNEN,Temporaire pacemaker
CS00047967,LIJNEN,Terugkoppeling van recovery
CS00035174,LIJNEN,Thoraxcontrole
CS00019724,LIJNEN,Thoraxdrain
CS00020535,LIJNEN,Thoraxdrain
CS00028634,LIJNEN,Thoraxdrain
CS00035522,LIJNEN,Thoraxdrain
CS00039141,LIJNEN,Thoraxdrain
CS00047279,LIJNEN,Thoraxdrain
CS00057906,LIJNEN,Thoraxdrain
CS00059873,LIJNEN,Thoraxdrain Neo
CS00033327,LIJNEN,Thoraxdrain NICU
CS00035181,LIJNEN,Thoraxdrainpomp
CS00038910,LIJNEN,Thoraxdrainpomp sublijst
CS00048840,LIJNEN,TIA TEE
CS00048872,LIJNEN,TIA TEE
CS00044090,LIJNEN,Toedieningsweg anesthesie
CS00041267,LIJNEN,Topicale anesthesie
CS00028079,LIJNEN,Tracheacanule
CS00044533,LIJNEN,Tracheacanule
CS00049046,LIJNEN,Tracheacanule cuffdrukmeting
CS00029560,LIJNEN,Tracheacanule detail
CS00029559,LIJNEN,Tracheacanule II
CS00028629,LIJNEN,Tracheostoma
CS00029946,LIJNEN,Tracheostoma
CS00055362,LIJNEN,Transcutaan pacen
CS00058059,LIJNEN,Transoesofageale ballonkatheter
CS00048946,LIJNEN,Traumakatheter
CS00051018,LIJNEN,TR-band (Gestandaardiseerde lijst)
CS00039220,LIJNEN,TR-Band 1
CS00046808,LIJNEN,TR-Band 2
CS00061466,LIJNEN,Triple lumen sonde
CS00055356,LIJNEN,Trombectomie
CS00024066,LIJNEN,Tube
CS00024272,LIJNEN,Tube
CS00033325,LIJNEN,Tube
CS00040709,LIJNEN,Tube positionering
CS00051023,LIJNEN,Tweede fase: Nabloeding
CS00051022,LIJNEN,Tweede fase: Verwijder lucht
CS00046811,LIJNEN,Tweede moment verwijderen lucht
CS00057692,LIJNEN,Uitleg gegeven
CS00043254,LIJNEN,Uitvoering
CS00050617,LIJNEN,Uitvoering
CS00043592,LIJNEN,Uitvoering epiduraal
CS00043620,LIJNEN,Uitvoering epiduraal
CS00050755,LIJNEN,Uitvoering LIK
CS00043602,LIJNEN,Uitvoering plexus
CS00043599,LIJNEN,Uitvoering spinaal
CS00043630,LIJNEN,Uitvoering spinaal
CS00054339,LIJNEN,Uitvoering zenuwkatheter
CS00035783,LIJNEN,Ultrafiltraat
CS00028628,LIJNEN,Ureterkatheter type
CS00035790,LIJNEN,Urine
CS00054430,LIJNEN,Urine afname
CS00035178,LIJNEN,Urologiecontrole
CS00047056,LIJNEN,Urostoma
CS00061020,LIJNEN,Urostomadrain
CS00035173,LIJNEN,Vaatcontrole
CS00052307,LIJNEN,VAC
CS00019725,LIJNEN,VAC spons
CS00040691,LIJNEN,VAC-therapie
CS00021092,LIJNEN,Vacuumdrain
CS00040394,LIJNEN,Vacuumdrain
CS00021094,LIJNEN,Vacuumdrain II
CS00048483,LIJNEN,Vene infuus
CS00019726,LIJNEN,Veneuze Canule
CS00046765,LIJNEN,Veneuze canule
CS00047057,LIJNEN,Veneuze sheath
CS00027854,LIJNEN,Venflon
CS00056537,LIJNEN,Ventriculair
CS00043106,LIJNEN,Verlies bloed
CS00043107,LIJNEN,Verlies urine (niet cumulatief)
CS00060332,LIJNEN,Verwarmen via infusie
CS00037800,LIJNEN,Verwarmingspot
CS00040897,LIJNEN,Verwijderen
CS00040898,LIJNEN,Verwijderen
CS00059194,LIJNEN,Verwijdering
CS00051029,LIJNEN,Vierde fase: Nabloeding
CS00051026,LIJNEN,Vierde fase: Verwijder lucht
CS00051032,LIJNEN,Vijfde fase: Nabloeding
CS00051031,LIJNEN,Vijfde fase: Verwijder lucht
CS00054431,LIJNEN,Vitale functies
CS00035784,LIJNEN,Vocht
CS00039227,LIJNEN,Voedingssonde
CS00053813,LIJNEN,Voedingssonde
CS00044821,LIJNEN,Voedingssonde IN
CS00044822,LIJNEN,Voedingssonde UIT
CS00048842,LIJNEN,Voorbereiding kamer
CS00048859,LIJNEN,Voorbereiding kamer
CS00048874,LIJNEN,Voorbereiding kamer
CS00048844,LIJNEN,Voorbereiding patiënt
CS00048871,LIJNEN,Voorbereiding patiënt
CS00048875,LIJNEN,Voorbereiding patiënt
CS00038967,LIJNEN,Voorlichting
CS00037569,LIJNEN,Vruchtwater
CS00047969,LIJNEN,Wachten
CS00044663,LIJNEN,Wachten op
CS00037796,LIJNEN,Warmtebed temperatuur
CS00024046,LIJNEN,Warmteblazer
CS00060328,LIJNEN,Warmtedeken
CS00060330,LIJNEN,Warmtelamp
CS00060327,LIJNEN,Warmtematras
CS00048633,LIJNEN,Weanen
CS00058813,LIJNEN,Wiek
CS00000947,LIJNEN,Wond
CS00047136,LIJNEN,Wond II
CS00029194,LIJNEN,Wondcontrole
CS00019727,LIJNEN,Wonddrain
CS00020534,LIJNEN,Wonddrain
CS00040378,LIJNEN,Wonddrain
CS00028627,LIJNEN,Wonddrain positie
